,name,meal-type,specific,net-carbs,Type,calories,Unit,serving,Ingredients,Nutrients,Method,Time,Difficulty,link
0,Simple keto breakfast with fried eggs,Breakfast,Dairy-Free,1.0,Ketogenic, 297kcal,US,1,"[(['2'], 'large eggs'), (['½ tbsp'], ' butter or olive oil'), (['1 tbsp'], 'vegan mayonnaise'), (['1 oz. ', '(1 cup)'], ' baby spinach'), (['1 cup'], ' coffee or tea'), ('2', 'large eggs', ' ')]","{'Net-carbs': (' 1g ', '2%'), 'Protien': (' 14g ', '19%'), 'Fat': (' 26g ', '79%'), 'Fiber': '1g', 'Total-Carb': '2g'}","Heat butter or oil in a frying pan over medium heat.,Crack your eggs straight into the pan. For eggs sunny side up – leave the eggs to fry on one side. For eggs cooked over easy – flip the eggs over after a few minutes and cook for another minute. For harder yolks, just leave cooking for a few more minutes. Season with salt and pepper.,Serve with baby spinach, a dollop of mayonnaise, and a cup of freshly brewed black coffee or a cup of tea.",3  + 7 m,Easy,https://www.dietdoctor.com/recipes/simple-keto-breakfast-with-fried-eggs
1,Low carb strawberry smoothie,Breakfast,Dairy-Free,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
2,Low carb strawberry smoothie,Breakfast,Vegan,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
3,Low carb strawberry smoothie,Breakfast,Vegetarian,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
4,Low carb strawberry smoothie,Snacks,Dairy-Free,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
5,Low carb strawberry smoothie,Snacks,Vegan,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
6,Low carb strawberry smoothie,Snacks,Vegetarian,10.0,Moderate low carb, 416kcal,US,2,"[(['1¾ cups'], 'coconut milk'), (['5 oz.'], ' fresh strawberries, sliced'), (['1 tbsp'], ' lime juice'), (['½ tsp'], ' vanilla extract')]","{'Net-carbs': (' 10g ', '9%'), 'Protien': (' 4g ', '4%'), 'Fat': (' 42g ', '87%'), 'Fiber': '1g', 'Total-Carb': '11g'}","Place all ingredients in a blender and blend until smooth. Using canned coconut milk (drain off the liquid) makes a creamier, more satisfying smoothie.,Add more lime juice if you like.",5 m,Easy,https://www.dietdoctor.com/recipes/low-carb-strawberry-smoothie
7,Smoked salmon with avocado and watercress,Breakfast,Dairy-Free,2.0,High-protein Ketogenic, 408kcal,US,2,"[(['2 cups ', '(2½ oz.)'], ' watercress, thick stems removed or baby spinach'), (['11 oz.'], ' smoked salmon or deli turkey'), (['2 tbsp'], 'scallions'), (['1 tbsp'], ' finely chopped, fresh dill'), (['1 tbsp'], ' olive oil'), (['1 tsp'], ' finely chopped, fresh chives (optional)')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 31g ', '32%'), 'Fat': (' 28g ', '65%'), 'Fiber': '7g', 'Total-Carb': '9g'}","Arrange the watercress, avocado slices, and salmon on plates. Garnish with scallions, dill, and chives. To serve, drizzle with olive oil, mostly over the watercress.",10 m,Easy,https://www.dietdoctor.com/recipes/keto-smoked-salmon-with-avocado-and-watercress
8,Smoked salmon with avocado and watercress,Breakfast,High-Protien,2.0,High-protein Ketogenic, 408kcal,US,2,"[(['2 cups ', '(2½ oz.)'], ' watercress, thick stems removed or baby spinach'), (['11 oz.'], ' smoked salmon or deli turkey'), (['2 tbsp'], 'scallions'), (['1 tbsp'], ' finely chopped, fresh dill'), (['1 tbsp'], ' olive oil'), (['1 tsp'], ' finely chopped, fresh chives (optional)')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 31g ', '32%'), 'Fat': (' 28g ', '65%'), 'Fiber': '7g', 'Total-Carb': '9g'}","Arrange the watercress, avocado slices, and salmon on plates. Garnish with scallions, dill, and chives. To serve, drizzle with olive oil, mostly over the watercress.",10 m,Easy,https://www.dietdoctor.com/recipes/keto-smoked-salmon-with-avocado-and-watercress
9,Smoked salmon with avocado and watercress,Lunch,Dairy-Free,2.0,High-protein Ketogenic, 408kcal,US,2,"[(['2 cups ', '(2½ oz.)'], ' watercress, thick stems removed or baby spinach'), (['11 oz.'], ' smoked salmon or deli turkey'), (['2 tbsp'], 'scallions'), (['1 tbsp'], ' finely chopped, fresh dill'), (['1 tbsp'], ' olive oil'), (['1 tsp'], ' finely chopped, fresh chives (optional)')]","{'Net-carbs': (' 2g ', '2%'), 'Protien': (' 31g ', '32%'), 'Fat': (' 28g ', '65%'), 'Fiber': '7g', 'Total-Carb': '9g'}","Arrange the watercress, avocado slices, and salmon on plates. Garnish with scallions, dill, and chives. To serve, drizzle with olive oil, mostly over the watercress.",10 m,Easy,https://www.dietdoctor.com/recipes/keto-smoked-salmon-with-avocado-and-watercress
